,Acquisition Amount,Acquisition Date,Acquisition Method,Address,Asbestos Survey RFP Group,BTF Recommendation,Bid Price Contractor Amount,Case GTJ Photo Link,Current Status,Current Status Date,Demo Contractor,Demo Contractor Proceed Date,Demo RFP Group,Foreclosure Year,Grant Program,Knock Down Date,NTP Batch,NTP Date,Occupancy Model Last Update,Occupancy Model Probability,Parcel ID,Photo URL,Pipeline,Planned Knock Down Date,Program,Property Ownership,Sold - Auction,Sold - Direct Sale,Sold - Side Lot,Sold Date,Util Cut Status
0,,2014-07-10,Transfer-City PDD,330 Kenilworth,05192014D,Further Analysis,19000.0,http://www.gtjadmin.com/view_assets.asp?id=1874635,,2016-03-30,DMC Consultants,2014-10-11,9F,2009,a07j0000003iIyrAAE,2014-12-29,HHF1 NTP 5,,,,01003046.,https://wdwot.s3.amazonaws.com/blexts/000/587/738/8e9bfa6f5a6d1fc5.jpg?t=1465013130,,2014-12-29,Side Lot,Formerly DLBA Owned,False,False,True,2016-02-20,Double Cut
1,,2016-01-13,Transfer-WCT,337 Kenilworth,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,01003102.003,https://wdwot.s3.amazonaws.com/blexts/000/013/423/blext20131206-32097-10t11v8.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
2,,2015-01-06,Transfer-WCT,17508 Plainview,,,0.0,,For Sale,2016-03-30,,,,2014,,,,,,,22094039.,https://wdwot.s3.amazonaws.com/blexts/000/013/457/blext20131206-32097-vrhs56.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
3,,2016-01-13,Transfer-WCT,562 Belmont,NAP 1.7.16,Community Input,0.0,http://www.gtjadmin.com/view_assets.asp?id=2095722,Demo Contracted,2017-03-13,Smalley,,2.1.2017B,2009,,,,,2017-03-15,14.3120027430898,03002717.,https://wdwot.s3.amazonaws.com/blexts/000/665/752/7fdb3afe301260f4.jpg?t=1475554142,Non-HHF Demo,,Non-HHF Demo,DLBA Owned,False,False,False,,Double Cut
4,,2014-03-04,Transfer-City PDD,563 Belmont,5042014,Structure Removal,20400.0,http://www.gtjadmin.com/view_assets.asp?id=1873920,For Sale,2016-03-30,Blue Star,,6O,2012,a07j0000003iIyrAAE,2014-09-03,HHF1 NTP 4,,,,03002734.,https://wdwot.s3.amazonaws.com/blexts/000/614/627/c36e937802e8206c.jpg?t=1468382849,Side Lot,2014-09-03,Side Lot,DLBA Owned,False,False,False,,Double Cut
5,,2014-03-04,Transfer-City PDD,568 Belmont,,Community Input,0.0,http://www.gtjadmin.com/view_assets.asp?id=1874043,,2015-03-14,,,,2012,,,,,2017-03-15,5.04159017374991,03002716.,https://wdwot.s3.amazonaws.com/blexts/000/665/756/969ad210b4a412cd.jpg?t=1475554143,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
6,,2016-01-13,Transfer-WCT,345 Harmon,12.1.15,Structure Removal,0.0,,For Sale,2016-06-01,Rickman Enterprise Group,,51189,,,2016-02-22,,,,,01003422.,https://wdwot.s3.amazonaws.com/blexts/000/613/929/e24ba2899f513bf2.jpg?t=1468296574,Side Lot,,Side Lot,DLBA Owned,False,False,False,,Double Cut
7,,2014-12-02,Transfer-MLB,3809 Martin,,,0.0,,For Sale,2016-03-30,,,,,,,,,,,18011185.002L,https://wdwot.s3.amazonaws.com/blexts/000/008/329/blext20131205-1663-jmxo8e.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
8,,2014-01-23,Transfer-WCT,3234 Cicotte,10132014A,Structure Removal,8680.0,http://www.gtjadmin.com/view_assets.asp?id=1894145,Demolished,2015-03-15,"Adamo Group, Inc.",,11A,2013,a07j0000003iIyrAAE,2015-01-29,HHF1 NTP 15,2014-09-26,,,18010381.,https://wdwot.s3.amazonaws.com/blexts/000/008/333/blext20131205-1663-16y7fe3.jpg,HHF Demo,2015-01-15,HHF Demo,DLBA Owned,False,False,False,,Double Cut
9,,2016-01-13,Transfer-WCT,576 Belmont,,Structure Removal,0.0,http://gtjadmin.com/view_assets.asp?id=2053377,,2016-03-02,,,,,,,,,2017-03-15,14.3120027430898,03002715.,https://wdwot.s3.amazonaws.com/blexts/000/665/755/a1bdbf5eb6eddda9.jpg?t=1475554143,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
10,,2015-01-06,Transfer-WCT,3811 Martin,,Community Input,0.0,,For Sale,2016-03-30,,,,2014,,,,,,,18011185.001,https://wdwot.s3.amazonaws.com/blexts/000/008/339/blext20131205-1663-d0vkma.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
11,,2014-12-04,Transfer-City PDD,582 Belmont,,,0.0,,For Sale,2016-03-30,,,,2004,,,,,,,03002714.,https://wdwot.s3.amazonaws.com/blexts/000/008/347/blext20131205-1663-1uykqd6.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
12,,2015-06-16,Transfer-City PDD,8089 Walden,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,17001367.,https://wdwot.s3.amazonaws.com/blexts/000/174/952/blext.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
13,,2015-01-06,Transfer-WCT,3206 Cicotte,,Community Input,0.0,,,2017-01-13,,,,2014,,,,,,,18001524.,https://wdwot.s3.amazonaws.com/blexts/000/008/369/blext20131205-23327-6t822f.jpg,,,Side Lot,Formerly DLBA Owned,False,False,False,2017-01-13,No Cuts Confirmed
14,,2014-01-23,Transfer-WCT,596 Belmont,,,0.0,,For Sale,2016-03-30,,,,2013,,,,,,,03002712.,https://wdwot.s3.amazonaws.com/blexts/000/008/379/blext20131205-1663-1htdoh3.jpg,Side Lot,,Side Lot,DLBA Owned,False,False,False,,No Cuts Confirmed
15,,2015-02-25,Transfer-MLB,3218 Cicotte,,Community Input,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,18001525.,https://wdwot.s3.amazonaws.com/blexts/000/008/389/blext20131205-23327-1qmreb9.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
16,,2014-07-10,Transfer-City PDD,8090 Georgia,,Structure Removal,0.0,,Intake Review,2015-03-18,,,,2003,,,,,2017-03-15,14.3120027430898,17001406.,https://wdwot.s3.amazonaws.com/blexts/000/174/635/blext.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
17,,2014-12-02,Transfer-MLB,600 Belmont,,,0.0,,Vacant Land,2016-07-26,,,,,,,,,,,03002711.,https://wdwot.s3.amazonaws.com/blexts/000/008/394/blext20131205-1663-jxjnym.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
18,,2014-12-04,Transfer-City PDD,606 Belmont,,,0.0,,Vacant Land,2016-07-26,,,,2009,,,,,,,03002710.,https://wdwot.s3.amazonaws.com/blexts/000/008/406/blext20131205-1663-1efr0ur.jpg,Inventory,,Inventory,DLBA Owned,False,False,False,,No Cuts Confirmed
19,,2015-01-06,Transfer-WCT,5538 Ashley,,Community Input,0.0,,,2016-03-30,,,,2014,,,,,,,21078666.,https://wdwot.s3.amazonaws.com/blexts/000/656/330/e3f5bbc983eb8646.jpg?t=1473998954,,,Side Lot,Formerly DLBA Owned,False,False,True,2015-05-28,No Cuts Confirmed
20,,2016-01-15,Transfer-WCT,3715 Martin,6.15.2016A,,0.0,http://gtjadmin.com/view_assets.asp?id=2053043,Demo Pipeline,2016-06-07,,,,,a07j000000EHcY6AAL,,HHF4 NTP 8,2016-06-07,2017-03-15,14.3120027430898,18011191.,https://wdwot.s3.amazonaws.com/blexts/000/008/414/blext20131205-1663-1dotlt8.jpg,HHF Demo,,HHF Demo,DLBA Owned,False,False,False,,Double Cut
21,,2014-03-04,Transfer-City PDD,612 Belmont,5042014,Structure Removal,13500.0,http://www.gtjadmin.com/view_assets.asp?id=1873609,Sales Review,2016-03-30,Blue Star,,6M,2012,a07j0000003iIyrAAE,2014-09-03,HHF1 NTP 4,,,,03002709.,https://wdwot.s3.amazonaws.com/blexts/000/614/639/c40716227a5b5d77.jpg?t=1468382851,Side Lot,2014-09-03,Side Lot,DLBA Owned,False,False,False,,Double Cut
