unique_misfit,Count,geoc_address,anon_return,,,,,
DDC,62,17601 MOUND RD,,,,,,
ANTHONY WAYNE DRIVE,2,,ANTHONY WAYNE DRIVE,,,,,
BEAUBIEN,2,,BEAUBIEN,,,,,
CADIEUX,2,,CADIEUX,,,,,
CASS,3,,CASS,,,,,
MOTOR CITY CASINO,24,2901 GRAND RIVER AVE,,,,,,
MGM CASINO,21,1777 3RD AVE,,,,,,
MED CENTER,17,3990 JOHN R ST,,,,,, 
DRH,16,4201 ST ANTOINE ST,,,,,,
RUSSELL FERRY,14,RUSSELL AND FERRY,,,,,,
GREEKTOWN CASINO,14,555 E LAFAYETTE ST,,,,,,
DETROIT DETENTION CENTER,14,17601 MOUND RD,,,,,,
MGM,13,1777 3RD AVE,,,,,,
CITY OF DETROIT,13,,CITY OF DETROIT,,,,,
CONNER,3,,CONNER,,,,,
CULTURAL CENTER,28,,CULTURAL CENTER,,,,,
MEDICAL CENTER,11,3990 JOHN R ST,,,,,,
CULTURE CENTER,2,,CULTURAL CENTER,,,,,
C,11,,,,,,,
CAMPUS MARTIUS,9,800 WOODWARD AVE,,,,,,
#NAME?,8,,,,,,,
DETROIT,2,,DETROIT,,,,,
LYNDON RADIO,7,13331 LYNDON ST,,,,,,
FAIRLANE MALL,7,,,,,,,
ROSA PARKS TRANSIT CENTER,6,1310 CASS AVE,,,,,,
ROSA PARKS TRANSIT,6,1310 CASS AVE,,,,,,
STATION,6,,,,,,,
STATE FAIR GROUNDS,6,1417 W 8 MILE RD,,,,,,
DEXTER,2,,DEXTER,,,,,
E JEFFERSON,4,,E JEFFERSON,,,,,
SOUTHFIELD YARD,5,12255 SOUTHFIELD RD,,,,,,
MOTORCITY CASINO,5,2901 GRAND RIVER AVE,,,,,,
MGM GRAND CASINO,5,1777 3RD AVE,,,,,,
PROVIDENCE HOSPITAL,5,,,,,,,
N,5,,,,,,,
TEST,5,,,,,,,
OAKLAND COUNTY JAIL,5,,,,,,,
EASTERN MARKET,13,,EASTERN MARKET,,,,,
HENRY FORD HOSPITAL,5,2799 W GRAND BLVD,,,,,,
EASTERN MARKET AREA,8,,EASTERN MARKET,,,,,
EASTERN MRKT,2,,EASTERN MARKET,,,,,
ST JOHN HOSPITAL,4,22101 MOROSS RD,,,,,,
SOUTH END,4,,,,,,,
NORTHLAND TRANSIT CENTER,4,,,,,,,
ROSA PARK TRANSIT,4,1310 CASS AVE,,,,,,
MICHIGAN-TRUMBULL,4,MICHIGAN AND TRUMBULL,,,,,,
AMBASSADOR BRIDGE,4,3027 PORTER ST,,,,,,
DAVISON YARD,4,8221 W DAVISON,,,,,,
EVERGREEN,3,,EVERGREEN,,,,,
A,4,,,,,,,
FORT ST,4,,FORT ST,,,,,
STA,3,,,,,,,
NORTHLAND,3,,,,,,,
W CHI - OUTER DR,3,W CHICAGO AND OUTER DR,,,,,,
NORTHLAND MALL,3,,,,,,,
PLYMOUTH,3,,,,,,,
GRAND RIVER,6,,GRAND RIVER,,,,,
STATE FAIR TRANSIT CENTER,3,20160 WOODWARD AVENUE,,,,,,
MACOMB COUNTY JAIL,3,,,,,,,
NORTHLAND BUS TERMINAL,3,,,,,,,
GRANDRIVER,3,,GRAND RIVER,,,,,
GRATIOT,6,,GRATIOT,,,,,
SHOEMAKER TERMINAL,3,5149 ST JEAN ST,,,,,,
AU,3,,,,,,,
GREENFIELD,2,,GREENFIELD RD,,,,,
BEAUMONT: BOTSFORD CAMPUS,3,,,,,,,
ELIZA HOWELL PARK,3,23701 FENKELL AVENUE,,,,,,
COBO HALL,3,1 WASHINGTON BLVD,,,,,,
GREENFIELD RD,2,,GREENFIELD RD,,,,,
BALDUCK PARK,3,5271 CANYON ST,,,,,,
DEARBORN PD,3,,,,,,,
HARPER HOSPITAL,3,3990 JOHN R ST,,,,,,
GULLEN MALL,33,,GULLEN MALL,,,,,
CAMPUS,3,,,,,,,
DOC,3,,,,,,,
INDIAN VILLAGE,11,,INDIAN VILLAGE,,,,,
DETROIT RECEIVING HOSPITAL,3,4201 ST ANTOINE ST,,,,,,
WAYNE COUNTY YOUTH HOME,2,,,,,,,
VERMONT-ELM,2,VERMONT AND ELM,,,,,,
NORTHLAND ROLLER RINK,2,22311 W 8 MILE RD,,,,,,
WOODWARD - BETHUNE ST,2,WOODWARD AVE AND BETHUNE ST,,,,,,
MOTOR CITY,2,,,,,,,
INDIAN VILLAGE AREA,5,,INDIAN VILLAGE,,,,,
STATE FAIR,2,,,,,,,
LAFAYETTE,2,,LAFAYETTE,,,,,
LIVERNOIS,2,,LIVERNOIS,,,,,
MACK,2,,MACK,,,,,
MCNICHOLS,2,,MCNICHOLS,,,,,
MOUND,2,,MOUND,,,,,
MOUNT ELLIOT,3,,MOUNT ELLIOT,,,,,
SHOEMAKER BUS TERMINAL,2,5149 ST JEAN ST,,,,,,
WESTLAND PD,2,,,,,,,
WOODBRIDGE ESTATES,2,1300 MARTIN LUTHER KING JR BL,,,,,,
MOTORCITY,2,,,,,,,
MEIJER,2,,,,,,,
MARINER PARK,2,14674 RIVERSIDE BLVD,,,,,,
SINAI GRACE HOSPITAL,2,6071 OUTER DR W,,,,,,
UNKNOWN,2,,,,,,,
SNG,2,,,,,,,
ROSA PARKS,2,,,,,,,
MICHIGAN STATE FAIR GROUNDS,2,1417 W 8 MILE RD,,,,,,
NAR,2,,,,,,,
SOUTHEND,2,,,,,,,
WALK INTO 2ND PRECINCT,2,,,,,,,
OUTER DRIVE,2,,OUTER DRIVE,,,,,
WAYNE COUNTY JAIL,2,570 CLINTON ST,,,,,,
RIVER BEND PLAZA,2,,,,,,,
ROUGE PARK,5,,ROUGE PARK,,,,,
ST JOHNS HOSPITAL,2,22101 MOROSS RD,,,,,,
ROSA PARKS TRANSIT CTR,2,1310 CASS AVE,,,,,,
RIVERBEND PLAZA,2,,,,,,,
SINAI GRACE HOSP,2,6071 OUTER DR W,,,,,,
ROUGH PARK,2,,ROUGE PARK,,,,,
RUTHERFORD ST,2,,RUTHERFORD ST,,,,,
WS6881,2,,,,,,,
RUSELL FERRY,2,RUSSELL AND FERRY,,,,,,
SA,2,,,,,,,
LAWTON,2,,,,,,,
W CHICAGO,2,,W CHICAGO,,,,,
C ORD,2,,,,,,,
W MCNICHOLS,4,,W MCNICHOLS,,,,,
DETROIT RECIEVING HOSPITAL,2,4201 ST ANTOINE ST,,,,,,
.,2,,,,,,,
BOTSFORD HOSPITAL,2,,,,,,,
DU,2,,,,,,,
W WARREN,3,,W WARREN,,,,,
AWD,2,,,,,,,
HAZEL PARK PD,2,,,,,,,
CHILDRENS HOSP,2,3901 BEAUBIEN ST,,,,,,
JOE LOUIS ARENA,2,19 STEVE YZERMAN DR,,,,,,
ACE OF SPADES,2,19245 W 8 MILE RD,,,,,,
GRACE HOSP,2,6071 OUTER DR W,,,,,,
WARREN,2,,WARREN,,,,,
`,2,,,,,,,
BALLDUCK PARK,2,5271 CANYON ST,,,,,,
WEST GRAND BLVD,2,,WEST GRAND BLVD,,,,,
ELLIS PARK,2,,,,,,,
WOODBRIDGE,58,,WOODBRIDGE,,,,,
WOODWARD,51,,WOODWARD AVE,,,,,
DETROIT RECEIVING HOSP,2,4201 ST ANTOINE ST,,,,,,
FAIRLANE,2,,,,,,,
WOODWARD DETAIL,11,,WOODWARD AVE,,,,,
ADV,2,,,,,,,
